method,terms,threshold,recall,specificity,precision,fpr,precision_n
hypergeometric,1,2.8568749091272734e-11,0.7,0.99919530496554,0.1828002130199623,0.0008046950344600475,70
hypergeometric,1,4.928350277340373e-11,0.7,0.9991816620798345,0.18049471206517734,0.0008183379201655964,70
hypergeometric,1,7.64976815682803e-11,0.7,0.9991651965281209,0.17847135276301995,0.0008348034718791899,70
hypergeometric,1,1.1360079035299993e-10,0.7,0.9991541410862557,0.1698830313844731,0.0008458589137440312,70
hypergeometric,1,1.5925826091474226e-10,0.7,0.9991404982005503,0.16893100050988571,0.0008595017994495799,70
hypergeometric,1,2.4358783562707043e-10,0.7,0.9991268553148447,0.16777796554227012,0.000873144685155129,70
hypergeometric,1,3.670677953431497e-10,0.7,0.9991127419848047,0.15981334743474687,0.0008872580151953518,70
hypergeometric,1,5.168850824464887e-10,0.71,0.9990995695434336,0.16187935942748913,0.0009004304565662268,71
hypergeometric,1,7.024163677927652e-10,0.71,0.999085926657728,0.15995975645321833,0.0009140733422717756,71
hypergeometric,1,9.028324072291894e-10,0.75,0.9990732246606921,0.18544768263767325,0.0009267753393079753,75
hypergeometric,1,1.3752503502094164e-9,0.76,0.9990598169971537,0.1952814786095364,0.0009401830028461874,76
hypergeometric,1,1.82374837201314e-9,0.76,0.9990461741114478,0.1880054431701808,0.0009538258885517363,76
hypergeometric,1,2.558496484157226e-9,0.78,0.9990330016700768,0.20123857346146082,0.0009669983299226116,78
hypergeometric,1,3.515723939713187e-9,0.79,0.9990193587843713,0.200586409599089,0.0009806412156281605,79
hypergeometric,1,4.3224152769328185e-9,0.8,0.9990057158986657,0.20796027440736017,0.0009942841013337092,80
hypergeometric,1,6.028329765574076e-9,0.8,0.998992308235128,0.20590035981673646,0.001007691764871921,80
hypergeometric,1,7.93154318019508e-9,0.8,0.9989786653494224,0.20435040957140163,0.0010213346505774698,80
hypergeometric,1,1.0316624751926888e-8,0.8,0.9989650224637165,0.19622028174501216,0.0010349775362830187,80
hypergeometric,1,1.324434192251592e-8,0.8,0.9989511443558434,0.18741020912510997,0.0010488556441559046,80
hypergeometric,1,1.8715126466365494e-8,0.8,0.9989375014701382,0.1829848295106348,0.0010624985298614536,80
hypergeometric,1,2.358335635053468e-8,0.8,0.9989238585844328,0.17976448929194005,0.0010761414155670025,80
hypergeometric,1,2.956481838723559e-8,0.8,0.9989102156987273,0.1787184155593257,0.0010897843012725513,80
hypergeometric,1,3.898808457970271e-8,0.8,0.9988965728130215,0.17064287412175114,0.0011034271869781002,80
hypergeometric,1,5.3117911517929526e-8,0.8,0.9988829299273162,0.1682615349008657,0.0011170700726836492,80
hypergeometric,1,6.62500116339023e-8,0.8,0.9988690518194435,0.16551705438486936,0.0011309481805565353,80
hypergeometric,1,7.920357269808581e-8,0.8,0.9988554089337377,0.1640433562468307,0.0011445910662620843,80
hypergeometric,1,9.94319482886123e-8,0.8,0.9988417660480322,0.1572327070479535,0.001158233951967633,80
hypergeometric,1,1.2646244329989853e-7,0.8,0.9988281231623267,0.15342797376547063,0.001171876837673182,80
hypergeometric,1,1.4417163596600428e-7,0.8,0.998814480276621,0.1468750345041811,0.0011855197233787307,80
hypergeometric,1,1.7583479949264969e-7,0.8,0.9988006021687486,0.14231173956563847,0.0011993978312516169,80
hypergeometric,1,2.0456787932426101e-7,0.8,0.9987869592830431,0.14115752024642214,0.0012130407169571658,80
hypergeometric,1,2.4315176010724415e-7,0.8,0.9987733163973376,0.13842851818554297,0.0012266836026627148,80
hypergeometric,1,2.9745364869866746e-7,0.8,0.9987596735116319,0.12896415851289697,0.0012403264883682635,80
hypergeometric,1,3.4705992685956134e-7,0.8,0.9987460306259263,0.12775381333895258,0.0012539693740738125,80
hypergeometric,1,4.167285088018306e-7,0.8,0.9987300355185471,0.1269447583254024,0.0012699644814527316,80
hypergeometric,1,4.723266317617547e-7,0.8,0.9987185096323473,0.11142792109462973,0.0012814903676522471,80
hypergeometric,1,5.83533203856112e-7,0.8,0.9987048667466419,0.11045066835978996,0.0012951332533577959,80
hypergeometric,1,6.898099636675153e-7,0.8,0.9986912238609368,0.10867466873719342,0.0013087761390633446,80
hypergeometric,1,8.326469554581287e-7,0.8,0.9986775809752314,0.10711816121377679,0.0013224190247688942,80
hypergeometric,1,9.787539908594126e-7,0.8,0.9986637028673583,0.10587436504486603,0.0013362971326417803,80
hypergeometric,1,0.0000011733027149435214,0.81,0.99865029520382,0.11091822020073151,0.0013497047961799913,81
model,1,0.01,1,0.9996619857455371,0.18737523889800645,0.00033801425446334084,100
model,1,0.010246153846153846,1,0.9996655140780472,0.18879374749279848,0.000334485921953285,100
model,1,0.010445859872611466,1,0.999669042410557,0.18905785879530376,0.00033095758944322936,100
model,1,0.010664335664335665,1,0.9996728059652346,0.19477335906458376,0.00032719403476583653,100
model,1,0.010827740492170022,1,0.9996763342977446,0.19523928030502216,0.0003236657022557808,100
model,1,0.011163636363636363,1,0.9996798626302545,0.19782882456753179,0.00032013736974572505,100
model,1,0.011399046104928458,1,0.9996833909627647,0.19890044753519046,0.00031660903723566933,100
model,1,0.011620689655172415,1,0.9996869192952748,0.19946122910855224,0.0003130807047256135,100
model,1,0.011914460285132383,1,0.9996906828499523,0.20199692766556793,0.00030931715004822074,100
model,1,0.012163187855787476,1,0.9996944464046296,0.20329214212980581,0.0003055535953708279,100
model,1,0.012674897119341564,1,0.9996979747371395,0.2088946081776074,0.0003020252628607721,100
model,1,0.013310104529616725,1,0.9997015030696497,0.2118061686110141,0.0002984969303507164,100
model,1,0.013751987281399047,1,0.9997052666243271,0.21318292806259123,0.00029473337567332365,100
